Learning rate set to 0.04175
315:	learn: 14287.6021594	total: 425ms	remaining: 921ms
316:	learn: 14266.4556905	total: 427ms	remaining: 919ms
317:	learn: 14246.8853070	total: 428ms	remaining: 918ms
318:	learn: 14209.4835116	total: 429ms	remaining: 916ms
319:	learn: 14182.7104995	total: 430ms	remaining: 914ms
320:	learn: 14162.5027390	total: 431ms	remaining: 912ms
321:	learn: 14134.1030712	total: 432ms	remaining: 910ms
322:	learn: 14109.4028024	total: 433ms	remaining: 909ms
323:	learn: 14085.9550412	total: 549ms	remaining: 1.14s
324:	learn: 14064.3762202	total: 559ms	remaining: 1.16s
325:	learn: 14047.2974402	total: 561ms	remaining: 1.16s
326:	learn: 14028.4867649	total: 563ms	remaining: 1.16s
327:	learn: 14010.7707001	total: 565ms	remaining: 1.16s
328:	learn: 13985.7048824	total: 566ms	remaining: 1.15s
329:	learn: 13959.4192956	total: 567ms	remaining: 1.15s
330:	learn: 13934.4854701	total: 569ms	remaining: 1.15s
331:	learn: 13910.6104624	total: 570ms	remaining: 1.15s
332:	learn: 13890.4928842	total: 571ms	remaining: 1.14s
333:	learn: 13866.4049749	total: 573ms	remaining: 1.14s
334:	learn: 13840.7687645	total: 574ms	remaining: 1.14s
335:	learn: 13828.2670685	total: 575ms	remaining: 1.14s
336:	learn: 13802.2909672	total: 576ms	remaining: 1.13s
337:	learn: 13786.7316279	total: 578ms	remaining: 1.13s
338:	learn: 13764.8425454	total: 579ms	remaining: 1.13s
339:	learn: 13745.6376725	total: 581ms	remaining: 1.13s
340:	learn: 13723.6842566	total: 582ms	remaining: 1.12s
341:	learn: 13698.9449813	total: 583ms	remaining: 1.12s
342:	learn: 13679.9003039	total: 584ms	remaining: 1.12s
343:	learn: 13670.4824690	total: 586ms	remaining: 1.12s
344:	learn: 13668.2677462	total: 587ms	remaining: 1.11s
345:	learn: 13645.2159603	total: 588ms	remaining: 1.11s
346:	learn: 13613.1362073	total: 590ms	remaining: 1.11s
347:	learn: 13599.1991662	total: 591ms	remaining: 1.11s
348:	learn: 13588.8846885	total: 592ms	remaining: 1.1s
349:	learn: 13567.2923037	total: 594ms	remaining: 1.1s
350:	learn: 13543.9735747	total: 595ms	remaining: 1.1s
351:	learn: 13526.9321380	total: 597ms	remaining: 1.1s
352:	learn: 13524.8332007	total: 598ms	remaining: 1.1s
353:	learn: 13503.2900674	total: 600ms	remaining: 1.09s
354:	learn: 13484.7292519	total: 601ms	remaining: 1.09s
355:	learn: 13461.0941302	total: 602ms	remaining: 1.09s
356:	learn: 13442.5390841	total: 603ms	remaining: 1.09s
357:	learn: 13426.4016355	total: 605ms	remaining: 1.08s
358:	learn: 13401.2305315	total: 606ms	remaining: 1.08s
359:	learn: 13377.3239318	total: 607ms	remaining: 1.08s
360:	learn: 13359.7137366	total: 609ms	remaining: 1.08s
361:	learn: 13334.4895810	total: 610ms	remaining: 1.07s
362:	learn: 13323.6990721	total: 611ms	remaining: 1.07s
363:	learn: 13296.9148709	total: 613ms	remaining: 1.07s
364:	learn: 13272.4474116	total: 615ms	remaining: 1.07s
365:	learn: 13243.2915384	total: 616ms	remaining: 1.07s
366:	learn: 13227.5511985	total: 617ms	remaining: 1.06s
367:	learn: 13200.0537609	total: 619ms	remaining: 1.06s
368:	learn: 13178.6644011	total: 620ms	remaining: 1.06s
369:	learn: 13163.4538127	total: 622ms	remaining: 1.06s
370:	learn: 13161.5626780	total: 623ms	remaining: 1.06s
371:	learn: 13135.0294040	total: 624ms	remaining: 1.05s
372:	learn: 13113.1909409	total: 626ms	remaining: 1.05s
373:	learn: 13111.3058531	total: 627ms	remaining: 1.05s
374:	learn: 13075.2854878	total: 628ms	remaining: 1.05s
375:	learn: 13048.8813604	total: 629ms	remaining: 1.04s
376:	learn: 13025.9282349	total: 631ms	remaining: 1.04s
377:	learn: 13003.9506336	total: 632ms	remaining: 1.04s
378:	learn: 12984.7532116	total: 633ms	remaining: 1.04s
379:	learn: 12962.8396967	total: 634ms	remaining: 1.03s
380:	learn: 12942.5003551	total: 636ms	remaining: 1.03s
381:	learn: 12915.2681543	total: 637ms	remaining: 1.03s
382:	learn: 12895.2002279	total: 638ms	remaining: 1.03s
383:	learn: 12879.4610794	total: 640ms	remaining: 1.02s
384:	learn: 12852.9161629	total: 641ms	remaining: 1.02s
385:	learn: 12835.1156077	total: 642ms	remaining: 1.02s
386:	learn: 12810.4753559	total: 643ms	remaining: 1.02s
387:	learn: 12785.1738565	total: 645ms	remaining: 1.02s
388:	learn: 12768.3689388	total: 646ms	remaining: 1.01s
389:	learn: 12741.9595956	total: 647ms	remaining: 1.01s
390:	learn: 12722.7996125	total: 648ms	remaining: 1.01s
